LDA_Component_1;LDA_Component_2;type;id_code
0.5466969186731534;-29.715.461.928.412.200;Proliferative;8e83a8ae27cf_preprocessed.png
2.689.276.261.686.510;-0.6315071353300274;Normal;8ea5698a1619_preprocessed.png
26.892.762.616.865.800;-0.6315071353300978;Normal;8eec629c3c8b_preprocessed.png
-35.985.199.657.331.100;1.736.126.046.501.850;Mild;8efd5ed7c4d8_preprocessed.png
-9.873.542.715.442.200;-3.089.031.247.567.320;Moderate;8f4612fa90aa_preprocessed.png
-4.663.422.898.384.280;-30.302.887.202.042.200;Proliferative;8f4ffa0d4f74_preprocessed.png
268.927.626.168.664;-0.6315071353301027;Normal;8f874a9724df_preprocessed.png
26.892.762.616.865.100;-0.6315071353301571;Normal;8fb196f59171_preprocessed.png
-9.873.542.715.442.890;-3.089.031.247.567.380;Moderate;8fc5d55a4ece_preprocessed.png
2.689.276.261.686.580;-0.6315071353299362;Normal;8fc74bd50fcb_preprocessed.png
2.689.276.261.686.500;-0.6315071353302897;Normal;8fcc91d6e28f_preprocessed.png
26.892.762.616.867.400;-0.6315071353299913;Normal;8fdecd6a923d_preprocessed.png
26.892.762.616.861.400;-0.6315071353298958;Normal;9003ab48ebb8_preprocessed.png
26.892.762.616.865.100;-0.6315071353301835;Normal;9006234e30cf_preprocessed.png
5.154.288.518.982.890;-0.5373155060166743;Severe;901028c2b54f_preprocessed.png
2.689.276.261.685.990;-0.6315071353300903;Normal;9031d62a6efb_preprocessed.png
-9.873.542.715.442.920;-3.089.031.247.567.340;Moderate;90c98069e6f1_preprocessed.png
-9.873.542.715.442.980;-30.890.312.475.674.500;Moderate;90f3a3addf92_preprocessed.png
2.689.276.261.686.300;-0.6315071353302639;Normal;90fc89319207_preprocessed.png
26.892.762.616.862.200;-0.6315071353300761;Normal;9156e3f3a878_preprocessed.png
0.5466969186729411;-29.715.461.928.408.200;Proliferative;91705661f6a8_preprocessed.png
26.892.762.616.865.300;-0.6315071353300464;Normal;9193a240b495_preprocessed.png
26.892.762.616.861.500;-0.6315071353301747;Normal;91b81018ff9d_preprocessed.png
-35.985.199.657.330.300;17.361.260.465.018.200;Mild;91cb9f86e456_preprocessed.png
2.689.276.261.686.670;-0.6315071353301565;Normal;91fb0a2a63fd_preprocessed.png
-9.873.542.715.442.370;-3.089.031.247.567.370;Moderate;91fc4b2b8c1c_preprocessed.png
2.689.276.261.686.630;-0.6315071353300679;Normal;91fd830b7677_preprocessed.png
-987.354.271.544.276;-30.890.312.475.673.600;Moderate;9215a3ce482b_preprocessed.png
-9.873.542.715.442.550;-30.890.312.475.672.800;Moderate;9240b949fdc0_preprocessed.png
-9.873.542.715.442.570;-30.890.312.475.672.700;Moderate;925967c408c7_preprocessed.png
-35.985.199.657.328.900;17.361.260.465.018.600;Mild;9266068354b4_preprocessed.png
2.689.276.261.686.830;-0.6315071353301969;Normal;9285ad837947_preprocessed.png
2.689.276.261.686.430;-0.6315071353300632;Normal;9295bc2a4c7a_preprocessed.png
-35.985.199.657.332.800;1.736.126.046.501.850;Mild;929ae04a77a9_preprocessed.png
-35.921.332.268.781.000;-18.602.691.914.485.600;Normal;92c773457ab2_preprocessed.png
26.892.762.616.859.600;-0.6315071353299784;Normal;92eb43fbfd8b_preprocessed.png
2.689.276.261.686.220;-0.6315071353299797;Normal;92ebf5417491_preprocessed.png
-9.873.542.715.442.560;-3.089.031.247.567.170;Moderate;92f5e1793a37_preprocessed.png
268.927.626.168.625;-0.631507135330093;Normal;9305aafdde3d_preprocessed.png
-9.873.542.715.442.550;-30.890.312.475.673.000;Moderate;9311beca06a7_preprocessed.png
-6.736.031.340.587.980;713.611.460.872.558;Mild;93220677378c_preprocessed.png
0.546696918673204;-2.971.546.192.840.950;Proliferative;9324f4ff95d2_preprocessed.png
2.689.276.261.686.060;-0.6315071353299375;Normal;933724df128e_preprocessed.png
-9.873.542.715.442.250;-3.089.031.247.567.270;Moderate;9375f39522ab_preprocessed.png
26.892.762.616.863.700;-0.6315071353301911;Normal;938a59f04582_preprocessed.png
-9.873.542.715.442.260;-30.890.312.475.671.800;Moderate;93aa0b383db9_preprocessed.png
26.892.762.616.867.600;-0.6315071353300565;Normal;93b480980afb_preprocessed.png
268.927.626.168.636;-0.6315071353300965;Normal;93c1af8b625c_preprocessed.png
2.689.276.261.686.680;-0.6315071353299735;Normal;93cbafc82f37_preprocessed.png
2.689.276.261.686.290;-0.6315071353299793;Normal;94017cfa574e_preprocessed.png
26.892.762.616.864.900;-0.6315071353300366;Normal;94281fced6bb_preprocessed.png
2.689.276.261.686.390;-0.6315071353299029;Normal;944678405e5e_preprocessed.png
-4.663.422.898.384.170;-3.030.288.720.204.830;Proliferative;948c75fbe02f_preprocessed.png
-987.354.271.544.257;-30.890.312.475.672.800;Moderate;9496a9b6c38e_preprocessed.png
26.892.762.616.861.500;-0.6315071353299571;Normal;94a6e4f3c625_preprocessed.png
26.892.762.616.861.700;-0.6315071353301454;Normal;94fac9bf79e0_preprocessed.png
-9.873.542.715.442.190;-3.089.031.247.567.250;Moderate;95485b752436_preprocessed.png
-987.354.271.544.258;-3.089.031.247.567.280;Moderate;95753b394d4c_preprocessed.png
-9.873.542.715.442.960;-308.903.124.756.729;Moderate;95838f27bb23_preprocessed.png
3.921.782.390.334.580;-0.5844113206733681;Severe;95c3558dc279_preprocessed.png
-9.873.542.715.442.030;-30.890.312.475.669.400;Moderate;95dafd1d5f47_preprocessed.png
2.689.276.261.686.480;-0.631507135329981;Normal;95e13f31b451_preprocessed.png
5.154.288.518.982.350;-0.5373155060165932;Severe;9600b8ad9d49_preprocessed.png
26.892.762.616.863.300;-0.6315071353298802;Normal;96261748266e_preprocessed.png
26.892.762.616.867.200;-0.6315071353304278;Normal;96602edec13c_preprocessed.png
26.892.762.616.865.100;-0.6315071353302182;Normal;967b01064b9c_preprocessed.png
26.892.762.616.862.800;-0.6315071353301189;Normal;96a3a01f0522_preprocessed.png
0.5466969186731336;-29.715.461.928.411.100;Proliferative;96a8532d5bc5_preprocessed.png
26.892.762.616.861.000;-0.6315071353300317;Normal;96c199f2afcb_preprocessed.png
-3.592.133.226.878.160;-18.602.691.914.486.300;Moderate;96c21d31212c_preprocessed.png
2.689.276.261.686.600;-0.6315071353300832;Normal;96c3445bf5cd_preprocessed.png
-3.598.519.965.732.680;17.361.260.465.018.300;Mild;97168872e4de_preprocessed.png
2.689.276.261.686.480;-0.6315071353301258;Normal;9730d08edebd_preprocessed.png
26.892.762.616.867.700;-0.6315071353300281;Normal;9772f0ba0ee7_preprocessed.png
26.892.762.616.866.100;-0.6315071353301449;Normal;978eaa69ae93_preprocessed.png
-9.873.542.715.442.650;-30.890.312.475.671.900;Moderate;97c4f207ae56_preprocessed.png
26.892.762.616.864.800;-0.6315071353301094;Normal;97cc3916d882_preprocessed.png
26.892.762.616.863.000;-0.6315071353298571;Normal;97f6cff9be9d_preprocessed.png
26.892.762.616.865.500;-0.6315071353301057;Normal;980b5ca190ce_preprocessed.png
26.892.762.616.865;-0.6315071353300978;Normal;981115ef58ed_preprocessed.png
-9.873.542.715.442.200;-30.890.312.475.672.500;Moderate;983b3a401c9e_preprocessed.png
2.689.276.261.686.570;-0.6315071353301374;Normal;983f2756d8be_preprocessed.png
-35.985.199.657.332.700;17.361.260.465.018.400;Mild;987f80393a5a_preprocessed.png
5.154.288.518.982.560;-0.5373155060165187;Severe;989379d3303a_preprocessed.png
-3.598.519.965.732.660;17.361.260.465.018.500;Mild;98b2af334295_preprocessed.png
2.689.276.261.686.430;-0.6315071353301644;Normal;98b46d9f4731_preprocessed.png
16.179.865.901.798.600;-18.015.266.640.854.900;Proliferative;98c2c42a0317_preprocessed.png
2.689.276.261.686.140;-0.6315071353302111;Normal;98c3ff1b4001_preprocessed.png
2.689.276.261.686.060;-0.631507135329914;Normal;98e2a0c2238d_preprocessed.png
-9.873.542.715.442.110;-3.089.031.247.567.120;Moderate;98f7c1cefa4b_preprocessed.png
0.5466969186734709;-29.715.461.928.409.800;Proliferative;990c506d8de0_preprocessed.png
26.892.762.616.863.800;-0.6315071353299291;Normal;995eb7091756_preprocessed.png
-35.985.199.657.324.700;17.361.260.465.018.300;Mild;99b0bee3bca7_preprocessed.png
26.892.762.616.872.500;-0.631507135330195;Normal;99b5603c3ddd_preprocessed.png
5.154.288.518.983.010;-0.5373155060164918;Severe;99b6b8ecbcfa_preprocessed.png
26.892.762.616.864.800;-0.6315071353300251;Normal;99c6cf808e47_preprocessed.png
-9.873.542.715.442.670;-3.089.031.247.567.340;Moderate;99fe5175a56f_preprocessed.png
-35.921.332.268.778.700;-18.602.691.914.486.400;Moderate;9a33293f90b5_preprocessed.png
268.927.626.168.683;-0.6315071353298763;Normal;9a36c6d23fe8_preprocessed.png
-3.598.519.965.733.340;1.736.126.046.501.830;Mild;9a514aa26e2f_preprocessed.png
2.689.276.261.686.500;-0.631507135330029;Normal;9a7e2e8fa01a_preprocessed.png
5.154.288.518.982.700;-0.5373155060164958;Severe;9a9091fd7806_preprocessed.png
515.428.851.898.236;-0.5373155060163963;Severe;9aaf74b298c2_preprocessed.png
-35.985.199.657.336.100;17.361.260.465.018.400;Mild;9ae71f3f62d1_preprocessed.png
-9.873.542.715.442.070;-3.089.031.247.567.210;Moderate;9b325a96f41a_preprocessed.png
26.892.762.616.864.400;-0.631507135330037;Normal;9b4b809730ec_preprocessed.png
2.689.276.261.686.100;-0.6315071353299357;Normal;9b5f62614c14_preprocessed.png
-9.873.542.715.442.390;-3.089.031.247.567.160;Moderate;9b9907171049_preprocessed.png
-9.873.542.715.442.560;-3.089.031.247.567.350;Moderate;9baaa9117adb_preprocessed.png
2.689.276.261.686.480;-0.6315071353301889;Normal;9bd683e16325_preprocessed.png
-98.735.427.154.423;-30.890.312.475.671.500;Moderate;9c27b212d50b_preprocessed.png
2.689.276.261.686.340;-0.6315071353300545;Normal;9c2c32cbda5a_preprocessed.png
26.892.762.616.867.200;-0.6315071353300026;Normal;9c5ba656e978_preprocessed.png
-9.873.542.715.442.410;-3.089.031.247.567.300;Moderate;9c73a69a7911_preprocessed.png
-3.598.519.965.732.950;1.736.126.046.501.810;Mild;9cd7e434aa47_preprocessed.png
26.892.762.616.863.400;-0.6315071353305521;Normal;9d19500e74c9_preprocessed.png
26.892.762.616.867.400;-0.6315071353300321;Normal;9d2327e95076_preprocessed.png
-35.985.199.657.329.900;17.361.260.465.018.400;Mild;9d3000de91bd_preprocessed.png
2.689.276.261.686.140;-0.6315071353303527;Normal;9d5061ccc54c_preprocessed.png
2.689.276.261.686.450;-0.6315071353300952;Normal;9d71c73256a8_preprocessed.png
26.892.762.616.866.900;-0.6315071353301858;Normal;9d9de8c9afb5_preprocessed.png
-9.873.542.715.442.330;-30.890.312.475.671.400;Moderate;9db8a8b68de9_preprocessed.png
-987.354.271.544.254;-30.890.312.475.672.600;Moderate;9df628dd2d68_preprocessed.png
2.689.276.261.685.990;-0.6315071353302524;Normal;9eabe2bdf1e9_preprocessed.png
-3.598.519.965.732.020;17.361.260.465.018.300;Mild;9eac62719123_preprocessed.png
26.892.762.616.865.300;-0.6315071353299466;Normal;9ec84fe4292a_preprocessed.png
0.546696918673191;-2.971.546.192.840.960;Proliferative;9ed194d1942c_preprocessed.png
-35.985.199.657.331.500;17.361.260.465.018.100;Mild;9ede102f5e7b_preprocessed.png
-35.985.199.657.330.100;1.736.126.046.501.820;Mild;9efba19d237c_preprocessed.png
-9.873.542.715.442.700;-3.089.031.247.567.190;Moderate;9f124cfb3f5d_preprocessed.png
0.5466969186731516;-29.715.461.928.407.200;Proliferative;9f1af957139f_preprocessed.png
-9.873.542.715.442.520;-3.089.031.247.567.170;Moderate;9f2317a63b63_preprocessed.png
-9.873.542.715.442.060;-3.089.031.247.567.370;Moderate;9f2539320e85_preprocessed.png
-9.873.542.715.441.740;-30.890.312.475.674.100;Moderate;9f3457c79515_preprocessed.png
26.892.762.616.862.000;-0.6315071353298904;Normal;9f70f457f732_preprocessed.png
0.1648245817281606;-12.223.402.560.609.800;Moderate;9f7eaf224b00_preprocessed.png
26.892.762.616.864.700;-0.6315071353300912;Normal;9f90ceaacec9_preprocessed.png
-9.873.542.715.442.520;-3.089.031.247.567.440;Moderate;9fd4cd92b5e3_preprocessed.png
26.892.762.616.869.000;-0.6315071353300423;Normal;9fe34f463cef_preprocessed.png
-987.354.271.544.245;-30.890.312.475.672.800;Moderate;9ff8eaf27f82_preprocessed.png
-9.873.542.715.442.500;-30.890.312.475.673.600;Moderate;a00e9f3e46b3_preprocessed.png
26.892.762.616.861.800;-0.6315071353300854;Normal;a0445b9d4930_preprocessed.png
2.689.276.261.685.870;-0.6315071353301065;Normal;a07855461605_preprocessed.png
26.892.762.616.862.400;-0.6315071353299988;Normal;a0ad897e6ef3_preprocessed.png
26.892.762.616.864.600;-0.6315071353301271;Normal;a0c6e8c3c68f_preprocessed.png
-359.851.996.573.306;17.361.260.465.018.400;Mild;a0cc05ce59fa_preprocessed.png
-3.598.519.965.732.680;17.361.260.465.018.500;Mild;a0d3fd0386d9_preprocessed.png
-9.873.542.715.442.390;-3.089.031.247.567.410;Moderate;a131a9496b82_preprocessed.png
26.892.762.616.863.800;-0.6315071353302262;Normal;a1452b3e185b_preprocessed.png
-9.873.542.715.442.840;-3.089.031.247.567.300;Moderate;a14c98b20437_preprocessed.png
26.892.762.616.867.700;-0.631507135330099;Normal;a150cde164c1_preprocessed.png
-9.873.542.715.442.680;-30.890.312.475.672.000;Moderate;a15d713a7782_preprocessed.png
-35.985.199.657.328.600;1.736.126.046.501.840;Mild;a18e97c55688_preprocessed.png
26.892.762.616.864.200;-0.6315071353300237;Normal;a1eb5f42737e_preprocessed.png
26.892.762.616.862.000;-0.6315071353301474;Normal;a203f9f5c288_preprocessed.png
26.892.762.616.861.400;-0.6315071353302129;Normal;a20cb71c8cb8_preprocessed.png
-9.873.542.715.442.410;-3.089.031.247.567.420;Moderate;a2183cf3a237_preprocessed.png
-35.921.332.268.782.900;-1.860.269.191.448.630;Normal;a2319c2af727_preprocessed.png
-987.354.271.544.216;-3.089.031.247.567.390;Moderate;a23f0953f08c_preprocessed.png
-9.873.542.715.442.770;-3.089.031.247.567.470;Moderate;a252632b8c91_preprocessed.png
-987.354.271.544.237;-30.890.312.475.672.000;Moderate;a252a97fbaec_preprocessed.png
-9.873.542.715.442.080;-30.890.312.475.673.100;Moderate;a2c2dcbcc398_preprocessed.png
26.892.762.616.863.900;-0.6315071353301365;Normal;a2d894364873_preprocessed.png
-6.736.031.340.588.010;7.136.114.608.725.510;Moderate;a3537724b9a5_preprocessed.png
-9.873.542.715.442.520;-3.089.031.247.567.350;Moderate;a3e5281f3158_preprocessed.png
-9.873.542.715.442.150;-3.089.031.247.567.400;Moderate;a4105f653783_preprocessed.png
2.689.276.261.686.590;-0.6315071353301884;Normal;a435c6136916_preprocessed.png
5.154.288.518.982.690;-0.5373155060165415;Severe;a444ca028295_preprocessed.png
-9.873.542.715.442.840;-3.089.031.247.567.110;Moderate;a48d59891a94_preprocessed.png
26.892.762.616.862.700;-0.6315071353298647;Normal;a49b59299236_preprocessed.png
26.892.762.616.866.400;-0.6315071353302114;Normal;a512464b26bf_preprocessed.png
26.892.762.616.865.600;-0.6315071353300641;Normal;a5867e3dde29_preprocessed.png
2.689.276.261.686.570;-0.6315071353302257;Normal;a5b28de176ba_preprocessed.png
-987.354.271.544.232;-30.890.312.475.673.300;Moderate;a5ea92b7864c_preprocessed.png
-9.873.542.715.442.780;-30.890.312.475.673.100;Moderate;a6135b708059_preprocessed.png
26.892.762.616.863.100;-0.6315071353301249;Normal;a6276ef5053b_preprocessed.png
-9.873.542.715.442.570;-3.089.031.247.567.300;Moderate;a62983766a21_preprocessed.png
-9.873.542.715.442.630;-3.089.031.247.567.290;Moderate;a6533f3144ba_preprocessed.png
2.689.276.261.686.190;-0.6315071353299877;Normal;a6556e9206b2_preprocessed.png
51.542.885.189.829.300;-0.5373155060164452;Severe;a66d287411ee_preprocessed.png
2.689.276.261.686.710;-0.6315071353301311;Normal;a67503dd5c37_preprocessed.png
-35.985.199.657.327.600;1.736.126.046.501.830;Mild;a678c7bdd312_preprocessed.png
-9.873.542.715.442.630;-308.903.124.756.744;Moderate;a69162579d65_preprocessed.png
26.892.762.616.864.800;-0.6315071353299841;Normal;a6940316fe47_preprocessed.png
0.5466969186732906;-2.971.546.192.841.040;Proliferative;a6aa2030d1f6_preprocessed.png
5.154.288.518.982.380;-0.5373155060165877;Severe;a6d6248e1d55_preprocessed.png
2.689.276.261.686.240;-0.6315071353300094;Normal;a6e5dd321ae4_preprocessed.png
26.892.762.616.860.000;-0.6315071353301729;Normal;a71375ac84f6_preprocessed.png
2.689.276.261.686.730;-0.6315071353301134;Normal;a766e99ac908_preprocessed.png
26.892.762.616.866.700;-0.6315071353301049;Normal;a7699068be9a_preprocessed.png
5.154.288.518.982.660;-0.5373155060164785;Severe;a77c37529ee7_preprocessed.png
-9.873.542.715.442.510;-30.890.312.475.673.300;Moderate;a78b86e53095_preprocessed.png
26.892.762.616.865.200;-0.6315071353301067;Normal;a7c338c946be_preprocessed.png
0.5466969186730148;-29.715.461.928.409.100;Proliferative;a807402308f2_preprocessed.png
26.892.762.616.866.800;-0.6315071353300346;Normal;a8798ba9d196_preprocessed.png
26.892.762.616.866.700;-0.6315071353301607;Normal;a87e705d63ee_preprocessed.png
26.892.762.616.865.600;-0.631507135330236;Normal;a8a268334c78_preprocessed.png
1.617.986.590.179.700;-18.015.266.640.855.800;Proliferative;a8df9599a564_preprocessed.png
5.154.288.518.982.890;-0.5373155060164896;Severe;a9006f6480a7_preprocessed.png
0.5466969186730715;-29.715.461.928.408.700;Proliferative;a924c71421de_preprocessed.png
-987.354.271.544.272;-308.903.124.756.716;Moderate;a93db82a21e1_preprocessed.png
-3.598.519.965.732.700;1.736.126.046.501.850;Mild;a94217c6d4fb_preprocessed.png
2.689.276.261.686.560;-0.6315071353302364;Normal;a958957485f1_preprocessed.png
-9.873.542.715.442.790;-3.089.031.247.567.050;Moderate;a99e7996c664_preprocessed.png
26.892.762.616.862.900;-0.6315071353300414;Normal;a9bc8e153c30_preprocessed.png
2.689.276.261.686.420;-0.6315071353300823;Normal;aa2c125a8ab8_preprocessed.png
